rec_id,species,continent_of_origin,country_of_origin,harvest_year,expiration,variety,color,processing_method,aroma,flavor,aftertaste,acidity,body,balance,uniformity,clean_cup,sweetness,moisture,quakers,category_one_defects,category_two_defects
38,Arabica,Africa,Ethiopia,2009.0,06/17/11,Other,Yellow,Other,7.92,7.75,8.08,8.08,8.08,8.17,10.0,10.0,10.0,0.1,0,0,2
40,Arabica,Asia,Thailand,2012.0,04/12/13,Caturra,Green,Washed / Wet,7.83,8.33,7.83,8.25,7.58,7.92,10.0,10.0,10.0,0.1,0,1,9
41,Arabica,South America,Brazil,2010.0,01/04/12,Yellow Bourbon,Yellow,Other,8.17,7.92,7.92,7.75,8.33,8.0,10.0,10.0,10.0,0.08,0,0,2
43,Arabica,Asia,Taiwan,2015.0,06/09/16,Bourbon,Green,Semi-washed / Semi-pulped,8.08,8.17,7.75,8.08,7.75,7.83,10.0,10.0,10.0,0.12,0,0,0
44,Arabica,Africa,Kenya,2014.0,01/29/16,SL28,Bluish-Green,Natural / Dry,8.08,8.08,8.0,8.0,7.83,8.08,10.0,10.0,10.0,0.11,0,0,2
46,Arabica,Africa,Uganda,2014.0,10/01/15,Other,Green,Semi-washed / Semi-pulped,8.08,8.08,7.83,7.92,8.08,7.92,10.0,10.0,10.0,0.0,0,0,0
47,Arabica,South America,Colombia,2013.0,03/20/15,Caturra,Green,Washed / Wet,7.75,7.92,7.83,8.08,8.08,8.17,10.0,10.0,10.0,0.12,0,1,1
48,Arabica,Africa,Kenya,2013.0,02/06/15,SL28,Green,Washed / Wet,7.92,8.17,7.83,8.5,7.5,7.92,10.0,10.0,10.0,0.11,0,0,1
49,Arabica,Africa,Uganda,2012.0,02/12/13,Other,Blue-Green,Washed / Wet,8.25,8.0,7.83,8.08,8.0,7.92,10.0,10.0,10.0,0.1,0,0,0
52,Arabica,North America,Guatemala,2016.0,05/16/17,Bourbon,Green,Washed / Wet,7.92,8.08,7.92,8.08,8.08,7.83,10.0,10.0,10.0,0.1,1,0,3
53,Arabica,Africa,Uganda,2013.0,06/30/15,SL14,Green,Natural / Dry,8.17,8.17,7.92,8.08,7.83,7.75,10.0,10.0,10.0,0.12,0,0,0
54,Arabica,South America,Colombia,2013.0,07/26/14,Caturra,Blue-Green,Washed / Wet,8.0,8.0,8.0,8.17,7.83,8.0,10.0,10.0,10.0,0.0,0,1,0
55,Arabica,North America,Panama,2017.0,10/09/18,Gesha,Bluish-Green,Washed / Wet,8.0,8.0,7.92,8.08,7.83,8.0,10.0,10.0,10.0,0.08,1,0,0
57,Arabica,North America,Guatemala,2012.0,07/03/13,Bourbon,Green,Washed / Wet,7.83,8.0,8.0,8.17,7.83,8.0,10.0,10.0,10.0,0.12,0,0,3
58,Arabica,North America,Guatemala,2012.0,06/05/13,Catuai,Bluish-Green,Washed / Wet,8.0,8.0,7.83,8.33,7.83,7.83,10.0,10.0,10.0,0.1,0,0,1
59,Arabica,Africa,Ethiopia,2017.0,06/23/18,Caturra,Yellow,Natural / Dry,7.83,8.0,7.83,8.17,7.92,8.0,10.0,10.0,10.0,0.09,4,0,7
60,Arabica,South America,Peru,2013.0,01/22/15,Other,Green,Washed / Wet,8.0,8.0,8.0,8.08,7.92,7.75,10.0,10.0,10.0,0.1,0,4,6
61,Arabica,Oceania,Papua New Guinea,2012.0,10/25/13,Other,Bluish-Green,Washed / Wet,8.33,8.42,7.83,8.33,8.0,8.25,9.33,9.33,10.0,0.12,0,0,1
62,Arabica,North America,El Salvador,2013.0,03/18/14,Bourbon,Blue-Green,Washed / Wet,7.92,8.17,8.0,7.92,7.75,7.83,10.0,10.0,10.0,0.1,0,0,3
63,Arabica,North America,El Salvador,2012.0,01/12/14,Bourbon,Green,Semi-washed / Semi-pulped,7.83,8.0,8.0,7.75,7.92,8.17,10.0,10.0,10.0,0.11,0,0,0
65,Arabica,North America,Panama,2014.0,05/22/16,Caturra,Yellow,Natural / Dry,8.0,7.75,7.83,7.83,7.67,8.58,10.0,10.0,10.0,0.09,0,2,2
66,Arabica,Africa,Kenya,2014.0,05/22/16,SL28,Green,Natural / Dry,7.92,7.92,7.83,8.08,7.83,7.92,10.0,10.0,10.0,0.1,0,0,3
67,Arabica,Africa,Ethiopia,2015.0,03/30/16,Other,Green,Natural / Dry,7.83,8.0,7.83,7.92,7.83,8.08,10.0,10.0,10.0,0.12,0,0,7
69,Arabica,North America,Guatemala,2013.0,02/26/14,Bourbon,Green,Washed / Wet,8.0,7.83,7.67,8.33,7.83,8.0,10.0,10.0,10.0,0.11,0,0,1
74,Arabica,North America,El Salvador,2009.0,05/31/11,Other,Green,Other,8.08,7.83,7.83,8.08,7.83,7.83,10.0,10.0,10.0,0.01,0,0,0
75,Arabica,Asia,China,2015.0,04/06/17,Catimor,Green,Natural / Dry,8.0,8.0,8.0,7.83,7.83,7.75,10.0,10.0,10.0,0.1,0,0,0
76,Arabica,North America,Guatemala,2014.0,05/22/16,Pacamara,Green,Natural / Dry,7.83,7.75,7.83,7.67,7.83,8.58,10.0,10.0,10.0,0.11,0,0,1
77,Arabica,North America,Costa Rica,2014.0,05/01/15,Caturra,Bluish-Green,Washed / Wet,7.92,8.08,8.0,7.92,8.0,8.08,10.0,10.0,9.33,0.0,0,0,0
79,Arabica,Africa,Kenya,2012.0,04/19/14,SL34,Green,Washed / Wet,7.83,8.08,7.75,8.08,7.92,7.75,10.0,10.0,10.0,0.0,0,0,2
80,Arabica,Africa,Kenya,2012.0,03/12/14,SL34,Green,Washed / Wet,8.0,7.92,7.92,8.08,7.83,7.75,10.0,10.0,10.0,0.0,0,0,6
83,Arabica,North America,Guatemala,2016.0,04/27/17,Bourbon,Green,Other,8.0,7.92,7.75,8.0,7.92,7.83,10.0,10.0,10.0,0.1,2,0,2
84,Arabica,South America,Colombia,2015.0,04/07/16,Caturra,Green,Washed / Wet,8.17,7.92,7.83,8.0,7.58,7.83,10.0,10.0,10.0,0.11,0,0,0
85,Arabica,South America,Colombia,2014.0,01/17/15,Caturra,Green,Natural / Dry,7.58,8.08,7.92,7.83,8.0,7.92,10.0,10.0,10.0,0.12,0,0,2
86,Arabica,Asia,Indonesia,2012.0,11/26/13,Sumatra Lintong,Green,Semi-washed / Semi-pulped,7.75,7.83,7.67,8.0,8.08,7.83,10.0,10.0,10.0,0.11,0,0,3
87,Arabica,North America,Guatemala,2012.0,01/17/13,Caturra,Yellow,Washed / Wet,8.25,8.0,7.67,7.92,7.75,7.67,10.0,10.0,10.0,0.0,0,0,7
88,Arabica,Africa,Ethiopia,2016.0,08/09/17,Other,Green,Natural / Dry,7.75,8.0,7.58,8.0,8.0,7.92,10.0,10.0,10.0,0.11,1,0,8
89,Arabica,South America,Colombia,2015.0,08/17/16,Caturra,Green,Natural / Dry,8.17,7.83,7.58,8.08,8.0,7.75,10.0,10.0,10.0,0.0,0,0,0
90,Arabica,Africa,Ethiopia,2014.0,10/07/15,Other,Green,Natural / Dry,8.42,8.0,7.42,8.0,7.92,7.92,9.33,10.0,10.0,0.1,0,2,7
91,Arabica,North America,United States,2014.0,03/10/15,Hawaiian Kona,Bluish-Green,Natural / Dry,7.58,7.83,7.83,7.92,7.83,8.17,10.0,10.0,10.0,0.11,0,2,2
92,Arabica,South America,Colombia,2012.0,03/16/13,Caturra,Green,Natural / Dry,7.83,8.0,7.75,7.75,7.83,7.83,10.0,10.0,10.0,0.11,0,0,8
93,Arabica,North America,United States,2010.0,12/27/11,Other,Yellow,Other,8.08,8.17,7.92,8.0,8.08,8.0,9.33,9.33,10.0,0.01,0,1,7
94,Arabica,Africa,Ethiopia,2010.0,06/17/11,Other,Yellow,Other,7.67,8.0,7.83,8.0,7.92,7.83,10.0,10.0,10.0,0.0,0,0,5
95,Arabica,North America,United States,2014.0,05/17/11,Other,Green,Other,7.5,7.92,8.25,7.83,7.92,7.75,10.0,10.0,10.0,0.0,0,0,0
96,Arabica,Africa,Uganda,2016.0,07/24/18,SL14,Green,Washed / Wet,8.17,7.92,7.75,7.75,7.67,7.75,10.0,10.0,10.0,0.11,0,0,1
97,Arabica,South America,Colombia,2016.0,02/15/18,Caturra,Green,Washed / Wet,8.0,7.92,7.75,7.92,7.75,7.83,10.0,10.0,10.0,0.0,0,0,3
98,Arabica,North America,Costa Rica,2016.0,01/30/18,Catuai,Green,Washed / Wet,7.83,8.0,7.58,7.92,7.92,7.83,10.0,10.0,10.0,0.12,1,1,1
99,Arabica,North America,Mexico,2015.0,09/21/17,Typica,Green,Washed / Wet,7.83,8.0,7.83,7.75,7.67,7.83,10.0,10.0,10.0,0.09,0,0,3
100,Arabica,Africa,Kenya,2015.0,05/07/17,Other,Green,Washed / Wet,8.17,7.83,7.92,7.75,7.67,7.83,10.0,10.0,10.0,0.11,5,0,7
102,Arabica,South America,Brazil,2012.0,02/28/13,Mundo Novo,Green,Natural / Dry,8.0,8.0,7.83,7.83,7.67,7.67,10.0,10.0,10.0,0.12,0,0,3
103,Arabica,North America,Mexico,2010.0,04/05/12,Pacamara,Green,Other,7.92,8.17,7.75,8.08,7.42,7.83,10.0,10.0,10.0,0.0,0,0,0
104,Arabica,North America,United States,2014.0,02/24/12,Other,Yellow,Other,7.75,7.92,7.75,7.75,8.0,8.0,10.0,10.0,10.0,0.0,0,0,1
105,Arabica,North America,Guatemala,2009.0,09/07/11,Other,Yellow,Other,7.83,8.08,7.67,8.0,7.75,7.67,10.0,10.0,10.0,0.04,0,0,1
106,Arabica,South America,Colombia,2016.0,11/25/17,Caturra,Yellow,Washed / Wet,7.92,7.92,7.67,7.83,7.92,7.83,10.0,10.0,10.0,0.0,6,1,2
107,Arabica,South America,Colombia,2015.0,10/25/16,Caturra,Green,Washed / Wet,7.92,7.83,7.75,7.83,7.75,8.0,10.0,10.0,10.0,0.12,0,0,1
108,Arabica,Asia,Taiwan,2015.0,06/08/16,Typica,Green,Semi-washed / Semi-pulped,7.67,7.83,8.0,7.58,8.0,7.92,10.0,10.0,10.0,0.11,0,0,0
109,Arabica,Africa,Tanzania,2014.0,12/12/15,Other,Green,Washed / Wet,8.0,7.83,7.83,7.92,7.75,7.75,10.0,10.0,10.0,0.12,0,0,2
110,Arabica,South America,Colombia,2012.0,12/11/13,Caturra,Green,Washed / Wet,7.75,7.92,7.83,7.75,7.75,8.0,10.0,10.0,10.0,0.11,0,0,3
111,Arabica,North America,Mexico,2012.0,07/11/13,Typica,Green,Semi-washed / Semi-pulped,7.75,8.0,7.75,7.83,7.5,7.92,10.0,10.0,10.0,0.11,0,0,0
112,Arabica,South America,Brazil,2011.0,12/22/12,Bourbon,Green,Natural / Dry,8.0,7.92,7.75,7.75,8.0,7.75,10.0,10.0,10.0,0.11,0,0,2
114,Arabica,Africa,Kenya,2009.0,08/26/11,Other,Yellow,Other,8.0,7.67,7.83,8.17,7.92,7.75,10.0,10.0,10.0,0.06,0,1,9
115,Arabica,Asia,Taiwan,2016.0,05/18/17,Typica,Green,Natural / Dry,7.92,7.58,7.83,7.83,7.83,7.83,10.0,10.0,10.0,0.0,0,0,0
120,Arabica,Asia,Thailand,2015.0,06/27/17,Caturra,Green,Pulped natural / honey,7.75,7.75,7.75,7.75,8.0,7.75,10.0,10.0,10.0,0.12,0,0,0
121,Arabica,Africa,Kenya,2014.0,06/01/16,SL34,Green,Washed / Wet,7.92,7.83,7.58,7.92,7.75,7.83,10.0,10.0,10.0,0.13,0,0,0
122,Arabica,North America,Honduras,2014.0,04/25/15,Catuai,Green,Washed / Wet,7.83,7.75,8.0,7.67,7.67,7.67,10.0,10.0,10.0,0.11,0,0,4
123,Arabica,North America,El Salvador,2010.0,08/22/12,Other,Yellow,Other,7.75,8.0,8.0,8.33,7.67,7.92,10.0,10.0,9.33,0.15,0,0,3
124,Arabica,North America,Nicaragua,2009.0,05/31/11,Other,Yellow,Other,7.83,7.58,7.58,7.83,7.75,7.67,10.0,10.0,10.0,0.18,0,0,2
125,Arabica,North America,El Salvador,2016.0,06/26/18,Bourbon,Blue-Green,Washed / Wet,7.83,7.83,7.5,8.0,7.83,7.67,10.0,10.0,10.0,0.0,0,0,2
126,Arabica,Asia,Indonesia,2016.0,11/24/17,Java,Green,Washed / Wet,7.92,7.83,7.75,7.75,7.75,7.75,10.0,10.0,10.0,0.12,0,0,7
127,Arabica,Asia,Japan,2014.0,11/02/17,Mundo Novo,Green,Pulped natural / honey,7.75,7.75,7.75,7.42,8.08,7.83,10.0,10.0,10.0,0.12,0,0,0
128,Arabica,North America,Costa Rica,2015.0,10/04/17,Catuai,Blue-Green,Washed / Wet,8.08,7.75,7.67,7.83,7.5,7.92,10.0,10.0,10.0,0.1,0,0,2
129,Arabica,North America,Guatemala,2015.0,06/01/17,Bourbon,Green,Washed / Wet,7.75,7.83,7.58,8.0,7.92,7.75,10.0,10.0,10.0,0.1,0,0,1
130,Arabica,North America,Costa Rica,2014.0,07/05/16,Caturra,Green,Washed / Wet,8.17,8.0,7.83,7.17,7.83,7.75,10.0,10.0,10.0,0.12,0,0,0
131,Arabica,Africa,Ethiopia,2014.0,05/22/16,Ethiopian Yirgacheffe,Yellow,Washed / Wet,8.08,7.83,7.75,7.83,7.58,7.67,10.0,10.0,10.0,0.1,0,0,3
132,Arabica,North America,Costa Rica,2014.0,05/22/16,Other,Green,Other,7.67,7.58,7.75,7.75,7.67,8.58,10.0,10.0,10.0,0.08,0,0,1
133,Arabica,North America,Costa Rica,2014.0,03/05/15,Catuai,Green,Washed / Wet,8.0,7.58,7.83,7.75,7.75,7.75,10.0,10.0,10.0,0.11,0,0,4
134,Arabica,North America,Costa Rica,2012.0,01/03/15,Other,Green,Washed / Wet,8.08,7.83,7.75,7.83,7.92,8.0,10.0,10.0,9.33,0.0,0,1,10
135,Arabica,Asia,Taiwan,2013.0,12/26/14,Typica,Green,Washed / Wet,8.0,7.92,7.75,7.75,7.75,7.75,10.0,10.0,10.0,0.11,0,0,0
136,Arabica,South America,Colombia,2013.0,12/20/14,Caturra,Green,Washed / Wet,7.75,7.83,7.75,7.83,7.75,7.83,10.0,10.0,10.0,0.0,0,0,0
137,Arabica,Africa,Kenya,2012.0,09/16/13,SL28,Bluish-Green,Washed / Wet,7.75,7.92,7.83,8.0,7.58,7.75,10.0,10.0,10.0,0.11,0,0,0
138,Arabica,North America,Guatemala,2012.0,07/17/13,Bourbon,Green,Washed / Wet,8.0,7.83,7.67,7.83,7.67,8.0,10.0,10.0,10.0,0.11,0,0,4
140,Arabica,North America,Mexico,2012.0,07/02/13,Typica,Yellow,Washed / Wet,7.83,7.58,7.67,7.92,7.92,7.83,10.0,10.0,10.0,0.13,0,0,3
142,Arabica,South America,Peru,2014.0,06/13/12,Other,Yellow,Other,7.67,7.83,7.75,7.75,7.92,7.83,10.0,10.0,10.0,0.0,0,0,3
144,Arabica,Africa,Kenya,2014.0,01/11/19,SL34,Blue-Green,Washed / Wet,7.92,7.75,7.83,7.75,7.58,7.92,10.0,10.0,10.0,0.11,0,0,5
145,Arabica,South America,Colombia,2016.0,01/10/18,Other,Blue-Green,Washed / Wet,7.83,7.67,7.58,7.92,7.67,7.83,10.0,10.0,10.0,0.0,0,0,4
146,Arabica,South America,Colombia,2016.0,12/28/17,Caturra,Green,Washed / Wet,7.92,7.83,7.58,8.0,7.83,7.67,10.0,10.0,10.0,0.0,1,0,5
147,Arabica,Africa,Kenya,2013.0,07/21/15,Peaberry,Bluish-Green,Washed / Wet,7.83,7.83,7.83,7.75,7.58,7.83,10.0,10.0,10.0,0.1,0,0,2
148,Arabica,North America,Guatemala,2014.0,05/29/15,Pacas,Green,Washed / Wet,7.75,7.83,7.67,7.92,7.75,7.83,10.0,10.0,10.0,0.11,0,0,1
149,Arabica,North America,Guatemala,2014.0,03/24/15,Bourbon,Green,Washed / Wet,8.0,7.92,7.67,7.58,7.58,7.67,10.0,10.0,10.0,0.09,0,0,0
151,Arabica,South America,Colombia,2013.0,12/06/14,Caturra,Yellow,Washed / Wet,7.75,7.75,7.83,7.75,7.58,8.0,10.0,10.0,10.0,0.0,0,0,5
152,Arabica,Africa,Kenya,2013.0,08/30/14,SL28,Green,Washed / Wet,7.75,7.75,7.75,8.08,7.75,7.75,10.0,10.0,10.0,0.0,0,0,0
153,Arabica,South America,Colombia,2012.0,07/17/14,Caturra,Green,Washed / Wet,7.67,7.83,7.83,8.0,7.58,7.92,10.0,10.0,10.0,0.0,0,0,2
154,Arabica,North America,Costa Rica,2012.0,03/12/14,Bourbon,Bluish-Green,Semi-washed / Semi-pulped,7.75,7.83,7.75,8.0,7.83,7.67,10.0,10.0,10.0,0.12,0,0,2
155,Arabica,South America,Colombia,2012.0,10/09/13,Caturra,Green,Washed / Wet,7.42,7.67,7.75,7.75,8.08,7.83,10.0,10.0,10.0,0.11,0,0,6
158,Arabica,North America,Costa Rica,2017.0,11/28/18,Caturra,Bluish-Green,Washed / Wet,7.92,7.67,7.92,7.75,7.67,7.58,10.0,10.0,10.0,0.1,0,0,2
159,Arabica,Africa,Uganda,2016.0,03/14/18,SL14,Green,Washed / Wet,7.92,7.75,7.67,7.75,7.83,7.75,10.0,10.0,10.0,0.11,0,0,1
162,Arabica,South America,Colombia,2015.0,06/04/16,Other,Green,Washed / Wet,8.08,7.67,7.83,7.83,7.67,7.67,10.0,10.0,10.0,0.12,0,1,0
163,Arabica,Asia,China,2013.0,06/16/15,Other,Green,Washed / Wet,7.67,8.0,7.75,7.83,7.75,7.58,10.0,10.0,10.0,0.0,0,0,2
167,Arabica,North America,Mexico,2012.0,06/06/13,Typica,Yellow,Washed / Wet,7.92,7.83,7.75,7.75,7.75,7.83,10.0,10.0,10.0,0.11,0,0,4
168,Arabica,North America,Guatemala,2012.0,02/15/13,Bourbon,Green,Washed / Wet,7.67,8.0,7.67,8.0,7.5,7.83,10.0,10.0,10.0,0.11,0,0,2
169,Arabica,South America,Brazil,2014.0,03/22/12,Other,Yellow,Other,7.81,7.81,7.88,7.75,7.38,8.25,9.5,10.0,10.0,0.0,0,0,4
170,Arabica,South America,Brazil,2014.0,03/21/12,Other,Brown,Other,8.17,7.67,7.75,7.75,7.67,7.75,10.0,10.0,10.0,0.0,0,2,0
171,Arabica,North America,Costa Rica,2016.0,03/23/18,Caturra,Blue-Green,Washed / Wet,7.58,7.83,7.83,8.0,7.67,7.58,10.0,10.0,10.0,0.1,0,0,3
172,Arabica,Asia,Indonesia,2017.0,03/14/18,Mandheling,Blue-Green,Other,7.67,7.67,7.83,7.58,7.83,7.83,10.0,10.0,10.0,0.0,0,0,3
173,Arabica,South America,Colombia,2015.0,01/24/17,Caturra,Green,Natural / Dry,7.92,7.83,7.75,7.67,7.92,7.67,10.0,10.0,10.0,0.0,0,0,1
174,Arabica,South America,Colombia,2014.0,07/09/15,Caturra,Green,Washed / Wet,7.92,7.75,7.67,7.92,7.67,7.75,10.0,10.0,10.0,0.0,0,0,3
175,Arabica,Asia,Taiwan,2012.0,07/10/14,Typica,Blue-Green,Washed / Wet,7.83,7.83,7.75,8.0,7.5,7.75,10.0,10.0,10.0,0.11,0,0,0
176,Arabica,North America,United States,2012.0,01/21/14,Hawaiian Kona,Blue-Green,Natural / Dry,7.92,7.92,7.5,7.83,7.5,7.92,10.0,10.0,10.0,0.11,0,0,1
179,Arabica,Africa,Kenya,2017.0,08/03/18,SL28,Green,Washed / Wet,7.33,7.58,7.83,7.75,7.75,7.92,10.0,10.0,10.0,0.11,0,0,4
180,Arabica,North America,Honduras,2016.0,05/11/18,Caturra,Green,Other,7.92,8.0,7.75,7.67,7.67,7.75,10.0,10.0,10.0,0.1,0,0,3
181,Arabica,South America,Colombia,2016.0,02/20/18,Caturra,Green,Washed / Wet,7.58,7.75,7.5,7.83,7.67,8.5,10.0,10.0,10.0,0.0,3,0,5
182,Arabica,North America,Honduras,2016.0,04/04/17,Catuai,Green,Washed / Wet,7.58,7.92,7.58,7.75,7.92,7.75,10.0,10.0,10.0,0.11,1,0,2
183,Arabica,South America,Colombia,2016.0,02/15/17,Other,Yellow,Other,7.67,7.67,7.75,7.83,7.75,7.83,10.0,10.0,10.0,0.0,2,0,4
184,Arabica,South America,Colombia,2015.0,04/28/16,Caturra,Green,Natural / Dry,7.75,7.67,8.0,7.67,8.08,7.83,10.0,10.0,10.0,0.11,0,6,0
185,Arabica,South America,Colombia,2013.0,07/19/14,Caturra,Green,Washed / Wet,7.75,7.58,7.33,7.83,7.58,8.08,10.0,10.0,10.0,0.0,0,0,0
186,Arabica,North America,Mexico,2012.0,07/27/13,Typica,Blue-Green,Washed / Wet,8.0,7.75,7.75,7.83,7.5,7.67,10.0,10.0,10.0,0.12,0,0,1
187,Arabica,South America,Brazil,2011.0,10/27/12,Yellow Bourbon,Yellow,Other,8.17,8.0,7.5,7.75,7.5,7.67,10.0,10.0,10.0,0.0,0,0,4
189,Arabica,Africa,Ethiopia,2014.0,06/13/12,Other,Yellow,Other,7.75,7.75,7.92,7.75,7.5,7.92,10.0,10.0,10.0,0.0,0,0,1
190,Arabica,North America,Guatemala,2009.0,04/30/11,Other,Yellow,Other,7.5,7.67,7.75,7.67,7.92,7.92,10.0,10.0,10.0,0.04,0,1,1
191,Arabica,Asia,Taiwan,2016.0,08/10/18,Typica,Blue-Green,Washed / Wet,7.92,7.75,7.75,7.67,7.67,7.83,10.0,10.0,10.0,0.12,0,0,0
192,Arabica,Asia,Thailand,2015.0,11/02/17,Catimor,Green,Natural / Dry,7.83,7.75,7.75,7.42,7.83,7.67,10.0,10.0,10.0,0.12,0,0,0
193,Arabica,South America,Colombia,2016.0,08/05/17,Caturra,Green,Natural / Dry,7.83,7.58,7.75,7.58,7.67,8.0,10.0,10.0,10.0,0.11,0,0,2
194,Arabica,North America,Guatemala,2016.0,05/23/17,Caturra,Green,Washed / Wet,7.75,7.75,7.58,7.92,7.75,7.75,10.0,10.0,10.0,0.11,4,0,4
195,Arabica,North America,Guatemala,2015.0,04/06/17,Caturra,Green,Washed / Wet,7.75,7.92,7.5,8.08,7.58,7.67,10.0,10.0,10.0,0.1,0,0,1
197,Arabica,South America,Colombia,2015.0,11/18/16,Caturra,Green,Washed / Wet,7.67,7.67,7.75,7.75,7.67,7.92,10.0,10.0,10.0,0.11,0,0,3
203,Arabica,North America,Guatemala,2014.0,08/21/15,Bourbon,Green,Other,7.83,7.83,7.5,7.92,7.58,7.75,10.0,10.0,10.0,0.1,0,0,1
204,Arabica,South America,Colombia,2013.0,10/01/14,Caturra,Green,Washed / Wet,7.58,7.5,7.75,7.83,7.92,7.83,10.0,10.0,10.0,0.11,0,0,2
